agency_name,fiscal_year,total_budget
ADMIN FOR CHILDREN'S SERVICES,2017,5956945722
BOARD OF CORRECTION,2017,5036411
BOARD OF ELECTIONS,2017,274828362
BOROUGH PRESIDENT BRONX,2017,11329957
BOROUGH PRESIDENT - BROOKLYN,2017,13024640
BOROUGH PRESIDENT - MANHATTAN,2017,9430766
BOROUGH PRESIDENT - QUEENS,2017,10674236
BOROUGH PRESIDENT STATEN ISLAND,2017,8675697
BRONX COMMUNITY BOARD #1,2017,593782
BRONX COMMUNITY BOARD #10,2017,615401
BRONX COMMUNITY BOARD #11,2017,577878
BRONX COMMUNITY BOARD #12,2017,478429
BRONX COMMUNITY BOARD #2,2017,559202
BRONX COMMUNITY BOARD #3,2017,578806
BRONX COMMUNITY BOARD #4,2017,494826
BRONX COMMUNITY BOARD #5,2017,489186
BRONX COMMUNITY BOARD #6,2017,473469
BRONX COMMUNITY BOARD #7,2017,582787
BRONX COMMUNITY BOARD #8,2017,574927
BRONX COMMUNITY BOARD #9,2017,579208
BROOKLYN COMMUNITY BOARD #1,2017,613776
BROOKLYN COMMUNITY BOARD #10,2017,655750
BROOKLYN COMMUNITY BOARD #11,2017,566639
BROOKLYN COMMUNITY BOARD #12,2017,638319
BROOKLYN COMMUNITY BOARD #13,2017,589735
BROOKLYN COMMUNITY BOARD #14,2017,616959
BROOKLYN COMMUNITY BOARD #15,2017,467822
BROOKLYN COMMUNITY BOARD #16,2017,594400
BROOKLYN COMMUNITY BOARD #17,2017,645091
BROOKLYN COMMUNITY BOARD #18,2017,467826
BROOKLYN COMMUNITY BOARD #2,2017,564770
BROOKLYN COMMUNITY BOARD #3,2017,550697
BROOKLYN COMMUNITY BOARD #4,2017,573346
BROOKLYN COMMUNITY BOARD #5,2017,467822
BROOKLYN COMMUNITY BOARD #6,2017,526680
BROOKLYN COMMUNITY BOARD #7,2017,484822
BROOKLYN COMMUNITY BOARD #8,2017,597086
BROOKLYN COMMUNITY BOARD #9,2017,587358
BROOKLYN PUBLIC LIBRARY,2017,203913033
BUSINESS INTEGRITY COMMISSION,2017,17331769
CAMPAIGN FINANCE BOARD,2017,30003672
CITY CLERK,2017,11235585
CITY COUNCIL,2017,122047410
CITY UNIVERSITY OF NEW YORK,2017,2135442455
CIVILIAN COMPLAINT REVIEW BOARD,2017,31748422
CIVIL SERVICE COMMISSION,2017,2061726
COMMISSION ON HUMAN RIGHTS,2017,21959598
CONFLICTS OF INTEREST BOARD,2017,4682636
DEBT SERVICE,2017,10658303092
DEPARTMENT FOR THE AGING,2017,641644277
DEPARTMENT OF BUILDINGS,2017,290134262
DEPARTMENT OF CITY PLANNING,2017,79875222
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2017,2390344699
DEPARTMENT OF CONSUMER AFFAIRS,2017,81170035
DEPARTMENT OF CORRECTION,2017,2642748963
DEPARTMENT OF CULTURAL AFFAIRS,2017,341379539
DEPARTMENT OF DESIGN & CONSTRUCTION,2017,1239976714
DEPARTMENT OF EDUCATION,2017,44218195769
DEPARTMENT OF EMERGENCY MANAGEMENT,2017,103387004
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2017,2926617305
DEPARTMENT OF FINANCE,2017,540723656
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2017,3038809108
DEPARTMENT OF HOMELESS SERVICES,2017,2639362545
DEPARTMENT OF INFO TECH & TELECOMM,2017,1364746813
DEPARTMENT OF INVESTIGATION,2017,101770257
DEPARTMENT OF PARKS AND RECREATION,2017,987355850
DEPARTMENT OF PROBATION,2017,199935377
DEPARTMENT OF RECORDS & INFORMATION SVS,2017,16390619
DEPARTMENT OF SANITATION,2017,3081174135
DEPARTMENT OF SMALL BUSINESS SERVICES,2017,677764923
DEPARTMENT OF SOCIAL SERVICES,2017,19062375321
DEPARTMENT OF TRANSPORTATION,2017,1939563549
DEPARTMENT OF VETERANS' SERVICES,2017,0
DEPARTMENT OF YOUTH & COMMUNITY DEV,2017,1370707860
DISTRICT ATTORNEY BRONX COUNTY,2017,123242048
DISTRICT ATTORNEY KINGS COUNTY,2017,195669673
DISTRICT ATTORNEY NEW YORK COUNTY,2017,240030123
DISTRICT ATTORNEY QUEENS COUNTY,2017,119036285
DISTRICT ATTORNEY RICHMOND COUNTY,2017,21438084
EQUAL EMPLOYMENT PRACTICES COMMISSION,2017,2040362
FINANCIAL INFORMATION SERVICE AGENCY,2017,193020955
FIRE DEPARTMENT,2017,4086956050
HEALTH AND HOSPITALS CORP,2017,2026666045
HOUSING PRESERVATION AND DEVELOPMENT,2017,2147215088
INDEPENDENT BUDGET OFFICE,2017,10993810
LANDMARKS PRESERVATION COMM.,2017,11544174
LAW DEPARTMENT,2017,391823238
MANHATTAN COMMUNITY BOARD #1,2017,882322
MANHATTAN COMMUNITY BOARD #10,2017,653324
MANHATTAN COMMUNITY BOARD #11,2017,624205
MANHATTAN COMMUNITY BOARD #12,2017,679070
MANHATTAN COMMUNITY BOARD #2,2017,704575
MANHATTAN COMMUNITY BOARD #3,2017,783423
MANHATTAN COMMUNITY BOARD #4,2017,644052
MANHATTAN COMMUNITY BOARD #5,2017,676148
MANHATTAN COMMUNITY BOARD #6,2017,858250
MANHATTAN COMMUNITY BOARD #7,2017,647987
MANHATTAN COMMUNITY BOARD #8,2017,807090
MANHATTAN COMMUNITY BOARD #9,2017,570621
MAYORALTY,2017,252240279
MISCELLANEOUS,2017,18930236580
NEW YORK PUBLIC LIBRARY,2017,267391710
NEW YORK RESEARCH LIBRARIES,2017,53760488
NYC TAXI AND LIMOUSINE COMM,2017,121296354
OFFICE OF ADMINISTRATIVE TAX APPEALS,2017,9337840
OFFICE OF ADMIN TRIALS & HEARINGS,2017,76243472
OFFICE OF COLLECTIVE BARGAINING,2017,4928149
OFFICE OF PAYROLL ADMINISTRATION,2017,35780779
OFFICE OF PROSECUTION SPEC NARCO,2017,43068294
OFFICE OF THE ACTUARY,2017,14449659
OFFICE OF THE COMPTROLLER,2017,189179683
PENSION CONTRIBUTIONS,2017,18628229072
POLICE DEPARTMENT,2017,11034488851
PUBLIC ADMINISTRATOR-BRONX COUNTY,2017,1293972
PUBLIC ADMINISTRATOR-KINGS COUNTY,2017,1549806
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2017,3504396
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2017,1145748
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2017,954084
PUBLIC ADVOCATE,2017,6800813
QUEENS BOROUGH PUBLIC LIBRARY,2017,203091486
QUEENS COMMUNITY BOARD #1,2017,606336
QUEENS COMMUNITY BOARD #10,2017,565372
QUEENS COMMUNITY BOARD #11,2017,595453
QUEENS COMMUNITY BOARD #12,2017,570806
QUEENS COMMUNITY BOARD #13,2017,539542
QUEENS COMMUNITY BOARD #14,2017,525511
QUEENS COMMUNITY BOARD #2,2017,637672
QUEENS COMMUNITY BOARD #3,2017,666628
QUEENS COMMUNITY BOARD #4,2017,561548
QUEENS COMMUNITY BOARD #5,2017,549215
QUEENS COMMUNITY BOARD #6,2017,572534
QUEENS COMMUNITY BOARD #7,2017,643318
QUEENS COMMUNITY BOARD #8,2017,624073
QUEENS COMMUNITY BOARD #9,2017,473884
STATEN ISLAND COMMUNITY BOARD #1,2017,585774
STATEN ISLAND COMMUNITY BOARD #2,2017,557826
STATEN ISLAND COMMUNITY BOARD #3,2017,689197
ADMIN FOR CHILDREN'S SERVICES,2018,9078936263
BOARD OF CORRECTION,2018,8755441
BOARD OF ELECTIONS,2018,393081789
BOROUGH PRESIDENT BRONX,2018,17392681
BOROUGH PRESIDENT - BROOKLYN,2018,19196066
BOROUGH PRESIDENT - MANHATTAN,2018,14517207
BOROUGH PRESIDENT - QUEENS,2018,16061140
BOROUGH PRESIDENT STATEN ISLAND,2018,13287967
BRONX COMMUNITY BOARD #1,2018,874743
BRONX COMMUNITY BOARD #10,2018,904775
BRONX COMMUNITY BOARD #11,2018,869397
BRONX COMMUNITY BOARD #12,2018,717000
BRONX COMMUNITY BOARD #2,2018,845064
BRONX COMMUNITY BOARD #3,2018,882670
BRONX COMMUNITY BOARD #4,2018,742239
BRONX COMMUNITY BOARD #5,2018,733779
BRONX COMMUNITY BOARD #6,2018,711547
BRONX COMMUNITY BOARD #7,2018,898682
BRONX COMMUNITY BOARD #8,2018,874165
BRONX COMMUNITY BOARD #9,2018,858342
BROOKLYN COMMUNITY BOARD #1,2018,922976
BROOKLYN COMMUNITY BOARD #10,2018,966520
BROOKLYN COMMUNITY BOARD #11,2018,848450
BROOKLYN COMMUNITY BOARD #12,2018,946810
BROOKLYN COMMUNITY BOARD #13,2018,886114
BROOKLYN COMMUNITY BOARD #14,2018,939635
BROOKLYN COMMUNITY BOARD #15,2018,701733
BROOKLYN COMMUNITY BOARD #16,2018,807741
BROOKLYN COMMUNITY BOARD #17,2018,930637
BROOKLYN COMMUNITY BOARD #18,2018,701739
BROOKLYN COMMUNITY BOARD #2,2018,846681
BROOKLYN COMMUNITY BOARD #3,2018,830430
BROOKLYN COMMUNITY BOARD #4,2018,860838
BROOKLYN COMMUNITY BOARD #5,2018,701733
BROOKLYN COMMUNITY BOARD #6,2018,752466
BROOKLYN COMMUNITY BOARD #7,2018,712233
BROOKLYN COMMUNITY BOARD #8,2018,914275
BROOKLYN COMMUNITY BOARD #9,2018,1170133
BROOKLYN PUBLIC LIBRARY,2018,307456386
BUSINESS INTEGRITY COMMISSION,2018,30091744
CAMPAIGN FINANCE BOARD,2018,48614990
CITY CLERK,2018,17967435
CITY COUNCIL,2018,192232332
CITY UNIVERSITY OF NEW YORK,2018,3537893049
CITYWIDE SAVINGS INITIATIVES,2018,0
CIVILIAN COMPLAINT REVIEW BOARD,2018,48611575
CIVIL SERVICE COMMISSION,2018,3257910
COMMISSION ON HUMAN RIGHTS,2018,35539951
CONFLICTS OF INTEREST BOARD,2018,7683360
DEBT SERVICE,2018,14970863621
DEPARTMENT FOR THE AGING,2018,1027510012
DEPARTMENT OF BUILDINGS,2018,498542266
DEPARTMENT OF CITY PLANNING,2018,135411774
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2018,3610183200
DEPARTMENT OF CONSUMER AFFAIRS,2018,119127432
DEPARTMENT OF CORRECTION,2018,4193194354
DEPARTMENT OF CULTURAL AFFAIRS,2018,561486148
DEPARTMENT OF DESIGN & CONSTRUCTION,2018,2105041395
DEPARTMENT OF EDUCATION,2018,70017443332
DEPARTMENT OF EMERGENCY MANAGEMENT,2018,200914830
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2018,4643748783
DEPARTMENT OF FINANCE,2018,835143845
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2018,4949059646
DEPARTMENT OF HOMELESS SERVICES,2018,4960905689
DEPARTMENT OF INFO TECH & TELECOMM,2018,2142345550
DEPARTMENT OF INVESTIGATION,2018,168909743
DEPARTMENT OF PARKS AND RECREATION,2018,1631529627
DEPARTMENT OF PROBATION,2018,306685970
DEPARTMENT OF RECORDS & INFORMATION SVS,2018,24895186
DEPARTMENT OF SANITATION,2018,4845957978
DEPARTMENT OF SMALL BUSINESS SERVICES,2018,1019245485
DEPARTMENT OF SOCIAL SERVICES,2018,29103635321
DEPARTMENT OF TRANSPORTATION,2018,2996392560
DEPARTMENT OF VETERANS' SERVICES,2018,11968000
DEPARTMENT OF YOUTH & COMMUNITY DEV,2018,2252569783
DISTRICT ATTORNEY BRONX COUNTY,2018,223590311
DISTRICT ATTORNEY KINGS COUNTY,2018,300664678
DISTRICT ATTORNEY NEW YORK COUNTY,2018,377373623
DISTRICT ATTORNEY QUEENS COUNTY,2018,198313610
DISTRICT ATTORNEY RICHMOND COUNTY,2018,43580348
ENERGY ADJUSTMENT,2018,0
EQUAL EMPLOYMENT PRACTICES COMMISSION,2018,3345562
FINANCIAL INFORMATION SERVICE AGENCY,2018,310983579
FIRE DEPARTMENT,2018,6169099195
HEALTH AND HOSPITALS CORP,2018,1584068927
HOUSING PRESERVATION AND DEVELOPMENT,2018,4038395245
INDEPENDENT BUDGET OFFICE,2018,17588914
LANDMARKS PRESERVATION COMM.,2018,18518000
LAW DEPARTMENT,2018,667060639
LEASE ADJUSTMENT,2018,0
MANHATTAN COMMUNITY BOARD #1,2018,1259163
MANHATTAN COMMUNITY BOARD #10,2018,995715
MANHATTAN COMMUNITY BOARD #11,2018,967639
MANHATTAN COMMUNITY BOARD #12,2018,1796419
MANHATTAN COMMUNITY BOARD #2,2018,1213907
MANHATTAN COMMUNITY BOARD #3,2018,1240833
MANHATTAN COMMUNITY BOARD #4,2018,967785
MANHATTAN COMMUNITY BOARD #5,2018,953814
MANHATTAN COMMUNITY BOARD #6,2018,1351644
MANHATTAN COMMUNITY BOARD #7,2018,971055
MANHATTAN COMMUNITY BOARD #8,2018,1243236
MANHATTAN COMMUNITY BOARD #9,2018,1155669
MAYORALTY,2018,400408184
MISCELLANEOUS,2018,29122266038
NEW YORK PUBLIC LIBRARY,2018,410766314
NEW YORK RESEARCH LIBRARIES,2018,82737026
NYC TAXI AND LIMOUSINE COMM,2018,188165435
OFFICE OF ADMINISTRATIVE TAX APPEALS,2018,15001972
OFFICE OF ADMIN TRIALS & HEARINGS,2018,124066463
OFFICE OF COLLECTIVE BARGAINING,2018,7120147
OFFICE OF PAYROLL ADMINISTRATION,2018,50104984
OFFICE OF PROSECUTION SPEC NARCO,2018,66376111
OFFICE OF THE ACTUARY,2018,21574541
OFFICE OF THE COMPTROLLER,2018,315167520
PENSION CONTRIBUTIONS,2018,28230157984
POLICE DEPARTMENT,2018,16584409141
PUBLIC ADMINISTRATOR-BRONX COUNTY,2018,2151873
PUBLIC ADMINISTRATOR-KINGS COUNTY,2018,2571137
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2018,5301334
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2018,1836763
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2018,1544979
PUBLIC ADVOCATE,2018,10798175
QUEENS BOROUGH PUBLIC LIBRARY,2018,312902584
QUEENS COMMUNITY BOARD #1,2018,940948
QUEENS COMMUNITY BOARD #10,2018,847536
QUEENS COMMUNITY BOARD #11,2018,910606
QUEENS COMMUNITY BOARD #12,2018,865145
QUEENS COMMUNITY BOARD #13,2018,816249
QUEENS COMMUNITY BOARD #14,2018,788772
QUEENS COMMUNITY BOARD #2,2018,959361
QUEENS COMMUNITY BOARD #3,2018,997326
QUEENS COMMUNITY BOARD #4,2018,833064
QUEENS COMMUNITY BOARD #5,2018,823424
QUEENS COMMUNITY BOARD #6,2018,867592
QUEENS COMMUNITY BOARD #7,2018,965693
QUEENS COMMUNITY BOARD #8,2018,923291
QUEENS COMMUNITY BOARD #9,2018,710456
STATEN ISLAND COMMUNITY BOARD #1,2018,881637
STATEN ISLAND COMMUNITY BOARD #2,2018,842751
STATEN ISLAND COMMUNITY BOARD #3,2018,1035964
ADMIN FOR CHILDREN'S SERVICES,2019,9459833112
BOARD OF CORRECTION,2019,8359234
BOARD OF ELECTIONS,2019,429102291
BOROUGH PRESIDENT BRONX,2019,18053895
BOROUGH PRESIDENT - BROOKLYN,2019,20073429
BOROUGH PRESIDENT - MANHATTAN,2019,15063628
BOROUGH PRESIDENT - QUEENS,2019,16851611
BOROUGH PRESIDENT STATEN ISLAND,2019,13667351
BRONX COMMUNITY BOARD #1,2019,882771
BRONX COMMUNITY BOARD #10,2019,913246
BRONX COMMUNITY BOARD #11,2019,869763
BRONX COMMUNITY BOARD #12,2019,718005
BRONX COMMUNITY BOARD #2,2019,900177
BRONX COMMUNITY BOARD #3,2019,889847
BRONX COMMUNITY BOARD #4,2019,742239
BRONX COMMUNITY BOARD #5,2019,718782
BRONX COMMUNITY BOARD #6,2019,701733
BRONX COMMUNITY BOARD #7,2019,897965
BRONX COMMUNITY BOARD #8,2019,878881
BRONX COMMUNITY BOARD #9,2019,907785
BROOKLYN COMMUNITY BOARD #1,2019,923769
BROOKLYN COMMUNITY BOARD #10,2019,978912
BROOKLYN COMMUNITY BOARD #11,2019,908351
BROOKLYN COMMUNITY BOARD #12,2019,958304
BROOKLYN COMMUNITY BOARD #13,2019,886391
BROOKLYN COMMUNITY BOARD #14,2019,958636
BROOKLYN COMMUNITY BOARD #15,2019,701733
BROOKLYN COMMUNITY BOARD #16,2019,809170
BROOKLYN COMMUNITY BOARD #17,2019,951818
BROOKLYN COMMUNITY BOARD #18,2019,701739
BROOKLYN COMMUNITY BOARD #2,2019,852951
BROOKLYN COMMUNITY BOARD #3,2019,862256
BROOKLYN COMMUNITY BOARD #4,2019,869315
BROOKLYN COMMUNITY BOARD #5,2019,701733
BROOKLYN COMMUNITY BOARD #6,2019,753225
BROOKLYN COMMUNITY BOARD #7,2019,742233
BROOKLYN COMMUNITY BOARD #8,2019,920284
BROOKLYN COMMUNITY BOARD #9,2019,1011206
BROOKLYN PUBLIC LIBRARY,2019,314921518
BUSINESS INTEGRITY COMMISSION,2019,26928616
CAMPAIGN FINANCE BOARD,2019,143986093
CITY CLERK,2019,16594117
CITY COUNCIL,2019,195232332
CITY UNIVERSITY OF NEW YORK,2019,3796653065
CITYWIDE SAVINGS INITIATIVES,2019,0
CIVILIAN COMPLAINT REVIEW BOARD,2019,48696302
CIVIL SERVICE COMMISSION,2019,3196869
COMMISSION ON HUMAN RIGHTS,2019,44565954
CONFLICTS OF INTEREST BOARD,2019,7741230
DEBT SERVICE,2019,15275300678
DEPARTMENT FOR THE AGING,2019,1125414300
DEPARTMENT OF BUILDINGS,2019,546327932
DEPARTMENT OF CITY PLANNING,2019,139027907
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2019,3742207061
DEPARTMENT OF CONSUMER AFFAIRS,2019,125302563
DEPARTMENT OF CORRECTION,2019,4320194616
DEPARTMENT OF CULTURAL AFFAIRS,2019,584477021
DEPARTMENT OF DESIGN & CONSTRUCTION,2019,1599966015
DEPARTMENT OF EDUCATION,2019,73792636723
DEPARTMENT OF EMERGENCY MANAGEMENT,2019,205373578
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2019,4479192094
DEPARTMENT OF FINANCE,2019,902457951
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2019,5177429669
DEPARTMENT OF HOMELESS SERVICES,2019,5779434452
DEPARTMENT OF INFO TECH & TELECOMM,2019,2267240455
DEPARTMENT OF INVESTIGATION,2019,165584908
DEPARTMENT OF PARKS AND RECREATION,2019,1693852826
DEPARTMENT OF PROBATION,2019,327428188
DEPARTMENT OF RECORDS & INFORMATION SVS,2019,24797131
DEPARTMENT OF SANITATION,2019,5102094536
DEPARTMENT OF SMALL BUSINESS SERVICES,2019,936724891
DEPARTMENT OF SOCIAL SERVICES,2019,29758233872
DEPARTMENT OF TRANSPORTATION,2019,3007738449
DEPARTMENT OF VETERANS' SERVICES,2019,12941973
DEPARTMENT OF YOUTH & COMMUNITY DEV,2019,2516829723
DISTRICT ATTORNEY BRONX COUNTY,2019,225529031
DISTRICT ATTORNEY KINGS COUNTY,2019,301424201
DISTRICT ATTORNEY NEW YORK COUNTY,2019,373776346
DISTRICT ATTORNEY QUEENS COUNTY,2019,197346447
DISTRICT ATTORNEY RICHMOND COUNTY,2019,45899364
ENERGY ADJUSTMENT,2019,0
EQUAL EMPLOYMENT PRACTICES COMMISSION,2019,3323095
FINANCIAL INFORMATION SERVICE AGENCY,2019,323736536
FIRE DEPARTMENT,2019,6338845473
HEALTH AND HOSPITALS CORP,2019,2094496033
HOUSING PRESERVATION AND DEVELOPMENT,2019,3942941848
INDEPENDENT BUDGET OFFICE,2019,16688127
LANDMARKS PRESERVATION COMM.,2019,18873955
LAW DEPARTMENT,2019,664735752
LEASE ADJUSTMENT,2019,0
MANHATTAN COMMUNITY BOARD #1,2019,1228892
MANHATTAN COMMUNITY BOARD #10,2019,1061915
MANHATTAN COMMUNITY BOARD #11,2019,983608
MANHATTAN COMMUNITY BOARD #12,2019,1197378
MANHATTAN COMMUNITY BOARD #2,2019,1077138
MANHATTAN COMMUNITY BOARD #3,2019,1147216
MANHATTAN COMMUNITY BOARD #4,2019,985540
MANHATTAN COMMUNITY BOARD #5,2019,959049
MANHATTAN COMMUNITY BOARD #6,2019,1390151
MANHATTAN COMMUNITY BOARD #7,2019,984305
MANHATTAN COMMUNITY BOARD #8,2019,1245912
MANHATTAN COMMUNITY BOARD #9,2019,1113156
MAYORALTY,2019,419976603
MISCELLANEOUS,2019,29807988433
NEW YORK PUBLIC LIBRARY,2019,417598767
NEW YORK RESEARCH LIBRARIES,2019,84283046
NYC TAXI AND LIMOUSINE COMM,2019,163913761
OFFICE OF ADMINISTRATIVE TAX APPEALS,2019,15145091
OFFICE OF ADMIN TRIALS & HEARINGS,2019,142305690
OFFICE OF COLLECTIVE BARGAINING,2019,7368171
OFFICE OF PAYROLL ADMINISTRATION,2019,50696689
OFFICE OF PROSECUTION SPEC NARCO,2019,67156933
OFFICE OF THE ACTUARY,2019,22363637
OFFICE OF THE COMPTROLLER,2019,317170015
PENSION CONTRIBUTIONS,2019,28793978206
POLICE DEPARTMENT,2019,17432274039
