agency_name,fiscal_year,total_budget
CIVIL SERVICE COMMISSION,2025,3263357
COMMISSION ON HUMAN RIGHTS,2025,39414866
COMMISSION ON RACIAL EQUITY,2025,2991517
CONFLICTS OF INTEREST BOARD,2025,7777850
DEBT SERVICE,2025,15977622897
DEPARTMENT FOR THE AGING,2025,1546274303
DEPARTMENT OF BUILDINGS,2025,616342720
DEPARTMENT OF CITY PLANNING,2025,154859640
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2025,5647421084
DEPARTMENT OF CORRECTION,2025,3615546715
DEPARTMENT OF CULTURAL AFFAIRS,2025,685997712
DEPARTMENT OF DESIGN & CONSTRUCTION,2025,562046099
DEPARTMENT OF EDUCATION,2025,97738900583
DEPARTMENT OF EMERGENCY MANAGEMENT,2025,690491175
DEPARTMENT OF EMPLOYMENT,2025,0
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2025,5129370179
DEPARTMENT OF FINANCE,2025,1049185788
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2025,8059857541
DEPARTMENT OF HOMELESS SERVICES,2025,11902142496
DEPARTMENT OF INFO TECH & TELECOMM,2025,2766010405
DEPARTMENT OF INVESTIGATION,2025,173817308
DEPARTMENT OF JUVENILE JUSTICE,2025,0
DEPARTMENT OF MENTAL HEALTH,2025,0
DEPARTMENT OF PARKS AND RECREATION,2025,1911401028
DEPARTMENT OF PROBATION,2025,358002782
DEPARTMENT OF RECORDS & INFORMATION SVS,2025,46882742
DEPARTMENT OF SANITATION,2025,5872814604
DEPARTMENT OF SMALL BUSINESS SERVICES,2025,988696105
DEPARTMENT OF SOCIAL SERVICES,2025,37052063637
DEPARTMENT OF TRANSPORTATION,2025,4289854784
DEPARTMENT OF VETERANS' SERVICES,2025,17894724
DEPARTMENT OF YOUTH & COMMUNITY DEV,2025,4042347107
DEPT OF CONSUMER & WORKER PROTECTION,2025,201842975
DISTRICT ATTORNEY BRONX COUNTY,2025,354000997
DISTRICT ATTORNEY KINGS COUNTY,2025,480177463
DISTRICT ATTORNEY NEW YORK COUNTY,2025,580421660
DISTRICT ATTORNEY QUEENS COUNTY,2025,327896246
DISTRICT ATTORNEY RICHMOND COUNTY,2025,91529263
DISTRICTING COMMISSION,2025,0
ENERGY ADJUSTMENT,2025,0
EQUAL EMPLOYMENT PRACTICES COMMISSION,2025,3739312
FINANCIAL INFORMATION SERVICE AGENCY,2025,357853747
FIRE DEPARTMENT,2025,7800169581
HEALTH AND HOSPITALS CORP,2025,8129928014
HOUSING PRESERVATION AND DEVELOPMENT,2025,5415446112
INDEPENDENT BUDGET OFFICE,2025,21437533
LANDMARKS PRESERVATION COMM.,2025,25632454
LAW DEPARTMENT,2025,894448824
LEASE ADJUSTMENT,2025,0
MANHATTAN COMMUNITY BOARD #1,2025,1220836
MANHATTAN COMMUNITY BOARD #10,2025,1358319
MANHATTAN COMMUNITY BOARD #11,2025,1140965
MANHATTAN COMMUNITY BOARD #12,2025,1627469
MANHATTAN COMMUNITY BOARD #2,2025,1323907
MANHATTAN COMMUNITY BOARD #3,2025,1437106
MANHATTAN COMMUNITY BOARD #4,2025,1543217
MANHATTAN COMMUNITY BOARD #5,2025,1153563
MANHATTAN COMMUNITY BOARD #6,2025,1768414
MANHATTAN COMMUNITY BOARD #7,2025,1363892
MANHATTAN COMMUNITY BOARD #8,2025,1351624
MANHATTAN COMMUNITY BOARD #9,2025,1249014
MAYORALTY,2025,552885030
MISCELLANEOUS,2025,44925801180
NEW YORK PUBLIC LIBRARY,2025,507939817
NEW YORK RESEARCH LIBRARIES,2025,98526674
NYC TAXI AND LIMOUSINE COMM,2025,181279032
OFFICE OF ADMINISTRATIVE TAX APPEALS,2025,17767070
OFFICE OF ADMIN TRIALS & HEARINGS,2025,195694079
OFFICE OF COLLECTIVE BARGAINING,2025,7534428
OFFICE OF CRIMINAL JUSTICE,2025,82302045
OFFICE OF PAYROLL ADMINISTRATION,2025,48990650
OFFICE OF PROSECUTION SPEC NARCO,2025,89398305
OFFICE OF RACIAL EQUITY,2025,11475508
OFFICE OF THE ACTUARY,2025,22053906
OFFICE OF THE COMPTROLLER,2025,353023962
PENSION CONTRIBUTIONS,2025,28332251973
POLICE DEPARTMENT,2025,18957523033
PUBLIC ADMINISTRATOR-BRONX COUNTY,2025,2234372
PUBLIC ADMINISTRATOR-KINGS COUNTY,2025,2854128
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2025,3651933
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2025,1998559
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2025,1866514
PUBLIC ADVOCATE,2025,15163705
QUEENS BOROUGH PUBLIC LIBRARY,2025,397563534
QUEENS COMMUNITY BOARD #1,2025,1134099
QUEENS COMMUNITY BOARD #10,2025,949948
QUEENS COMMUNITY BOARD #11,2025,1074855
QUEENS COMMUNITY BOARD #12,2025,1038095
QUEENS COMMUNITY BOARD #13,2025,992339
QUEENS COMMUNITY BOARD #14,2025,904671
QUEENS COMMUNITY BOARD #2,2025,1185262
QUEENS COMMUNITY BOARD #3,2025,1135662
QUEENS COMMUNITY BOARD #4,2025,992705
QUEENS COMMUNITY BOARD #5,2025,960852
QUEENS COMMUNITY BOARD #6,2025,1021486
QUEENS COMMUNITY BOARD #7,2025,1132726
QUEENS COMMUNITY BOARD #8,2025,1082492
QUEENS COMMUNITY BOARD #9,2025,823791
STATEN ISLAND COMMUNITY BOARD #1,2025,1026298
STATEN ISLAND COMMUNITY BOARD #2,2025,994236
STATEN ISLAND COMMUNITY BOARD #3,2025,1210998
ADMIN FOR CHILDREN'S SERVICES,2026,10921825314
BOARD OF CORRECTION,2026,11109891
BOARD OF ELECTIONS,2026,661133665
BOROUGH PRESIDENT BRONX,2026,21515758
BOROUGH PRESIDENT - BROOKLYN,2026,24005847
BOROUGH PRESIDENT - MANHATTAN,2026,18371431
BOROUGH PRESIDENT - QUEENS,2026,20725231
BOROUGH PRESIDENT STATEN ISLAND,2026,16018039
BRONX COMMUNITY BOARD #1,2026,1081557
BRONX COMMUNITY BOARD #10,2026,1124003
BRONX COMMUNITY BOARD #11,2026,1089994
BRONX COMMUNITY BOARD #12,2026,880836
BRONX COMMUNITY BOARD #2,2026,1118292
BRONX COMMUNITY BOARD #3,2026,1007358
BRONX COMMUNITY BOARD #4,2026,907350
BRONX COMMUNITY BOARD #5,2026,865920
BRONX COMMUNITY BOARD #6,2026,874491
BRONX COMMUNITY BOARD #7,2026,1369779
BRONX COMMUNITY BOARD #8,2026,1082268
BRONX COMMUNITY BOARD #9,2026,1127307
BROOKLYN COMMUNITY BOARD #1,2026,1165778
BROOKLYN COMMUNITY BOARD #10,2026,1149026
BROOKLYN COMMUNITY BOARD #11,2026,1075099
BROOKLYN COMMUNITY BOARD #12,2026,1143724
BROOKLYN COMMUNITY BOARD #13,2026,1103664
BROOKLYN COMMUNITY BOARD #14,2026,1683994
BROOKLYN COMMUNITY BOARD #15,2026,829347
BROOKLYN COMMUNITY BOARD #16,2026,927399
BROOKLYN COMMUNITY BOARD #17,2026,1181577
BROOKLYN COMMUNITY BOARD #18,2026,856533
BROOKLYN COMMUNITY BOARD #2,2026,1083951
BROOKLYN COMMUNITY BOARD #3,2026,955054
BROOKLYN COMMUNITY BOARD #4,2026,1022448
BROOKLYN COMMUNITY BOARD #5,2026,861018
BROOKLYN COMMUNITY BOARD #6,2026,1180647
BROOKLYN COMMUNITY BOARD #7,2026,881583
BROOKLYN COMMUNITY BOARD #8,2026,1115579
BROOKLYN COMMUNITY BOARD #9,2026,1232806
BROOKLYN PUBLIC LIBRARY,2026,419568942
BUSINESS INTEGRITY COMMISSION,2026,26464048
CAMPAIGN FINANCE BOARD,2026,406741508
CITY CLERK,2026,22526619
CITY COUNCIL,2026,325252506
CITY UNIVERSITY OF NEW YORK,2026,4276577356
CIVILIAN COMPLAINT REVIEW BOARD,2026,82965107
CIVIL SERVICE COMMISSION,2026,3507201
COMMISSION ON HUMAN RIGHTS,2026,41850385
COMMISSION ON RACIAL EQUITY,2026,6972407
CONFLICTS OF INTEREST BOARD,2026,8221689
DEBT SERVICE,2026,16441989116
DEPARTMENT FOR THE AGING,2026,1671299231
DEPARTMENT OF BUILDINGS,2026,612120280
DEPARTMENT OF CITY PLANNING,2026,170109307
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2026,6209359756
DEPARTMENT OF CORRECTION,2026,3645985514
DEPARTMENT OF CULTURAL AFFAIRS,2026,765368598
DEPARTMENT OF DESIGN & CONSTRUCTION,2026,557278284
DEPARTMENT OF EDUCATION,2026,101221428252
DEPARTMENT OF EMERGENCY MANAGEMENT,2026,424898431
DEPARTMENT OF EMPLOYMENT,2026,0
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2026,5201901885
DEPARTMENT OF FINANCE,2026,1075563087
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2026,8188885829
DEPARTMENT OF HOMELESS SERVICES,2026,12341746209
DEPARTMENT OF INFO TECH & TELECOMM,2026,2802551392
DEPARTMENT OF INVESTIGATION,2026,190349454
DEPARTMENT OF JUVENILE JUSTICE,2026,0
DEPARTMENT OF MENTAL HEALTH,2026,0
DEPARTMENT OF PARKS AND RECREATION,2026,1951417336
DEPARTMENT OF PROBATION,2026,374145363
DEPARTMENT OF RECORDS & INFORMATION SVS,2026,46195662
DEPARTMENT OF SANITATION,2026,6005931156
DEPARTMENT OF SMALL BUSINESS SERVICES,2026,977951593
DEPARTMENT OF SOCIAL SERVICES,2026,39672181958
DEPARTMENT OF TRANSPORTATION,2026,4517134194
DEPARTMENT OF VETERANS' SERVICES,2026,20182195
DEPARTMENT OF YOUTH & COMMUNITY DEV,2026,4209980071
DEPT OF CONSUMER & WORKER PROTECTION,2026,202067119
DISTRICT ATTORNEY BRONX COUNTY,2026,432754668
DISTRICT ATTORNEY KINGS COUNTY,2026,516501588
DISTRICT ATTORNEY NEW YORK COUNTY,2026,637501631
DISTRICT ATTORNEY QUEENS COUNTY,2026,380451371
DISTRICT ATTORNEY RICHMOND COUNTY,2026,93356018
DISTRICTING COMMISSION,2026,0
ENERGY ADJUSTMENT,2026,0
EQUAL EMPLOYMENT PRACTICES COMMISSION,2026,4399363
FINANCIAL INFORMATION SERVICE AGENCY,2026,359967493
FIRE DEPARTMENT,2026,8238201096
HEALTH AND HOSPITALS CORP,2026,9458777221
HOUSING PRESERVATION AND DEVELOPMENT,2026,6560996603
INDEPENDENT BUDGET OFFICE,2026,23807435
LANDMARKS PRESERVATION COMM.,2026,26289602
LAW DEPARTMENT,2026,956198882
LEASE ADJUSTMENT,2026,0
MANHATTAN COMMUNITY BOARD #1,2026,1321269
MANHATTAN COMMUNITY BOARD #10,2026,1359852
MANHATTAN COMMUNITY BOARD #11,2026,1191861
MANHATTAN COMMUNITY BOARD #12,2026,1294623
MANHATTAN COMMUNITY BOARD #2,2026,1378149
MANHATTAN COMMUNITY BOARD #3,2026,1370119
MANHATTAN COMMUNITY BOARD #4,2026,1624224
MANHATTAN COMMUNITY BOARD #5,2026,1448364
MANHATTAN COMMUNITY BOARD #6,2026,1838862
MANHATTAN COMMUNITY BOARD #7,2026,1298082
MANHATTAN COMMUNITY BOARD #8,2026,1397025
MANHATTAN COMMUNITY BOARD #9,2026,1320639
MAYORALTY,2026,538353080
MISCELLANEOUS,2026,41883671989
NEW YORK PUBLIC LIBRARY,2026,549331382
NEW YORK RESEARCH LIBRARIES,2026,105890775
NYC TAXI AND LIMOUSINE COMM,2026,176315981
OFFICE OF ADMINISTRATIVE TAX APPEALS,2026,17637465
OFFICE OF ADMIN TRIALS & HEARINGS,2026,222696763
OFFICE OF COLLECTIVE BARGAINING,2026,8259827
OFFICE OF CRIMINAL JUSTICE,2026,2918741366
OFFICE OF PAYROLL ADMINISTRATION,2026,52600993
OFFICE OF PROSECUTION SPEC NARCO,2026,94935266
OFFICE OF RACIAL EQUITY,2026,17029067
OFFICE OF THE ACTUARY,2026,22310329
OFFICE OF THE COMPTROLLER,2026,373170107
PENSION CONTRIBUTIONS,2026,30168004993
POLICE DEPARTMENT,2026,19692133720
PUBLIC ADMINISTRATOR-BRONX COUNTY,2026,2500681
PUBLIC ADMINISTRATOR-KINGS COUNTY,2026,3350185
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2026,3881756
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2026,2043428
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2026,2012726
PUBLIC ADVOCATE,2026,16873859
QUEENS BOROUGH PUBLIC LIBRARY,2026,427659188
QUEENS COMMUNITY BOARD #1,2026,1219149
QUEENS COMMUNITY BOARD #10,2026,989777
QUEENS COMMUNITY BOARD #11,2026,1116098
QUEENS COMMUNITY BOARD #12,2026,1067056
QUEENS COMMUNITY BOARD #13,2026,1034424
QUEENS COMMUNITY BOARD #14,2026,909177
QUEENS COMMUNITY BOARD #2,2026,1229907
QUEENS COMMUNITY BOARD #3,2026,1171470
QUEENS COMMUNITY BOARD #4,2026,1058423
QUEENS COMMUNITY BOARD #5,2026,1028547
QUEENS COMMUNITY BOARD #6,2026,1111199
QUEENS COMMUNITY BOARD #7,2026,1164537
QUEENS COMMUNITY BOARD #8,2026,1137235
QUEENS COMMUNITY BOARD #9,2026,859746
STATEN ISLAND COMMUNITY BOARD #1,2026,1075986
STATEN ISLAND COMMUNITY BOARD #2,2026,961086
STATEN ISLAND COMMUNITY BOARD #3,2026,1263440
ADMIN FOR CHILDREN'S SERVICES,2027,12463197978
BOARD OF CORRECTION,2027,11978214
BOARD OF ELECTIONS,2027,672337062
BOROUGH PRESIDENT BRONX,2027,21559645
BOROUGH PRESIDENT - BROOKLYN,2027,23816513
BOROUGH PRESIDENT - MANHATTAN,2027,18537659
BOROUGH PRESIDENT - QUEENS,2027,23984003
BOROUGH PRESIDENT STATEN ISLAND,2027,16107792
BRONX COMMUNITY BOARD #1,2027,1100829
BRONX COMMUNITY BOARD #10,2027,1150177
BRONX COMMUNITY BOARD #11,2027,1120017
BRONX COMMUNITY BOARD #12,2027,888006
BRONX COMMUNITY BOARD #2,2027,1229445
BRONX COMMUNITY BOARD #3,2027,1021387
BRONX COMMUNITY BOARD #4,2027,941004
BRONX COMMUNITY BOARD #5,2027,850620
BRONX COMMUNITY BOARD #6,2027,891660
BRONX COMMUNITY BOARD #7,2027,1197320
BRONX COMMUNITY BOARD #8,2027,1097140
BRONX COMMUNITY BOARD #9,2027,1361610
BROOKLYN COMMUNITY BOARD #1,2027,1179451
BROOKLYN COMMUNITY BOARD #10,2027,1178862
BROOKLYN COMMUNITY BOARD #11,2027,1151666
BROOKLYN COMMUNITY BOARD #12,2027,1122380
BROOKLYN COMMUNITY BOARD #13,2027,1242899
BROOKLYN COMMUNITY BOARD #14,2027,1278360
BROOKLYN COMMUNITY BOARD #15,2027,842913
BROOKLYN COMMUNITY BOARD #16,2027,939195
BROOKLYN COMMUNITY BOARD #17,2027,1211516
BROOKLYN COMMUNITY BOARD #18,2027,876603
BROOKLYN COMMUNITY BOARD #2,2027,1097301
BROOKLYN COMMUNITY BOARD #3,2027,962452
BROOKLYN COMMUNITY BOARD #4,2027,1037217
BROOKLYN COMMUNITY BOARD #5,2027,878622
BROOKLYN COMMUNITY BOARD #6,2027,1198401
BROOKLYN COMMUNITY BOARD #7,2027,902781
BROOKLYN COMMUNITY BOARD #8,2027,1142913
BROOKLYN COMMUNITY BOARD #9,2027,1265190
BROOKLYN PUBLIC LIBRARY,2027,443787599
BUSINESS INTEGRITY COMMISSION,2027,27505691
CAMPAIGN FINANCE BOARD,2027,350148711
CITY CLERK,2027,26654275
CITY COUNCIL,2027,345149481
CITY UNIVERSITY OF NEW YORK,2027,4904238566
CITYWIDE SAVINGS INITIATIVES,2027,0
CIVILIAN COMPLAINT REVIEW BOARD,2027,88242174
CIVIL SERVICE COMMISSION,2027,3627247
COMMISSION ON HUMAN RIGHTS,2027,44477166
COMMISSION ON RACIAL EQUITY,2027,14241223
CONFLICTS OF INTEREST BOARD,2027,8582250
DEBT SERVICE,2027,16102275580
DEPARTMENT FOR THE AGING,2027,1846079065
DEPARTMENT OF BUILDINGS,2027,667499882
DEPARTMENT OF CITY PLANNING,2027,168674413
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2027,5710368550
DEPARTMENT OF CORRECTION,2027,3994824133
DEPARTMENT OF CULTURAL AFFAIRS,2027,902237414
DEPARTMENT OF DESIGN & CONSTRUCTION,2027,537619349
DEPARTMENT OF EDUCATION,2027,110094175087
DEPARTMENT OF EMERGENCY MANAGEMENT,2027,261187123
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2027,5715406274
DEPARTMENT OF FINANCE,2027,1150263027
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2027,8491850380
DEPARTMENT OF HOMELESS SERVICES,2027,12860959406
DEPARTMENT OF INFO TECH & TELECOMM,2027,2862626456
DEPARTMENT OF INVESTIGATION,2027,195775436
DEPARTMENT OF PARKS AND RECREATION,2027,2143280996
DEPARTMENT OF PROBATION,2027,360150216
DEPARTMENT OF RECORDS & INFORMATION SVS,2027,48534368
DEPARTMENT OF SANITATION,2027,6617575833
DEPARTMENT OF SMALL BUSINESS SERVICES,2027,1040685763
DEPARTMENT OF SOCIAL SERVICES,2027,41367377009
DEPARTMENT OF TRANSPORTATION,2027,4723840954
DEPARTMENT OF VETERANS' SERVICES,2027,22553263
DEPARTMENT OF YOUTH & COMMUNITY DEV,2027,4603001210
DEPT OF CONSUMER & WORKER PROTECTION,2027,251104214
DISTRICT ATTORNEY BRONX COUNTY,2027,485547525
DISTRICT ATTORNEY KINGS COUNTY,2027,604119158
DISTRICT ATTORNEY NEW YORK COUNTY,2027,666017276
DISTRICT ATTORNEY QUEENS COUNTY,2027,377960219
DISTRICT ATTORNEY RICHMOND COUNTY,2027,97806923
ENERGY ADJUSTMENT,2027,0
EQUAL EMPLOYMENT PRACTICES COMMISSION,2027,4606023
FINANCIAL INFORMATION SERVICE AGENCY,2027,376624697
FIRE DEPARTMENT,2027,8311400181
HEALTH AND HOSPITALS CORP,2027,6390149473
HOUSING PRESERVATION AND DEVELOPMENT,2027,6120924973
INDEPENDENT BUDGET OFFICE,2027,24858540
LANDMARKS PRESERVATION COMM.,2027,26904682
LAW DEPARTMENT,2027,938045297
LEASE ADJUSTMENT,2027,0
MANHATTAN COMMUNITY BOARD #1,2027,1414497
MANHATTAN COMMUNITY BOARD #10,2027,1544466
MANHATTAN COMMUNITY BOARD #11,2027,1232014
MANHATTAN COMMUNITY BOARD #12,2027,1350123
MANHATTAN COMMUNITY BOARD #2,2027,1428010
MANHATTAN COMMUNITY BOARD #3,2027,1390125
MANHATTAN COMMUNITY BOARD #4,2027,1347123
MANHATTAN COMMUNITY BOARD #5,2027,1260143
MANHATTAN COMMUNITY BOARD #6,2027,1882989
MANHATTAN COMMUNITY BOARD #7,2027,1429692
MANHATTAN COMMUNITY BOARD #8,2027,1421856
MANHATTAN COMMUNITY BOARD #9,2027,1336331
MAYORALTY,2027,581440903
MISCELLANEOUS,2027,43239542872
NEW YORK PUBLIC LIBRARY,2027,582410477
NEW YORK RESEARCH LIBRARIES,2027,114632694
NYC TAXI AND LIMOUSINE COMM,2027,185873783
OFFICE OF ADMINISTRATIVE TAX APPEALS,2027,19132021
OFFICE OF ADMIN TRIALS & HEARINGS,2027,238791844
OFFICE OF COLLECTIVE BARGAINING,2027,8437585
OFFICE OF COMMUNITY SAFETY,2027,0
OFFICE OF CRIMINAL JUSTICE,2027,3120148705
OFFICE OF PAYROLL ADMINISTRATION,2027,56740086
OFFICE OF PROSECUTION SPEC NARCO,2027,95083647
OFFICE OF RACIAL EQUITY,2027,17437287
OFFICE OF THE ACTUARY,2027,22786065
OFFICE OF THE COMPTROLLER,2027,391858034
PENSION CONTRIBUTIONS,2027,30792502497
POLICE DEPARTMENT,2027,20305254775
PRIOR YEAR PAYABLES,2027,0
PUBLIC ADMINISTRATOR-BRONX COUNTY,2027,3368207
PUBLIC ADMINISTRATOR-KINGS COUNTY,2027,3440515
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2027,3842465
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2027,2083824
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2027,2065655
PUBLIC ADVOCATE,2027,17063079
QUEENS BOROUGH PUBLIC LIBRARY,2027,455813749
QUEENS COMMUNITY BOARD #1,2027,1247556
QUEENS COMMUNITY BOARD #10,2027,1022095
QUEENS COMMUNITY BOARD #11,2027,1134499
QUEENS COMMUNITY BOARD #12,2027,1114713
QUEENS COMMUNITY BOARD #13,2027,1075892
QUEENS COMMUNITY BOARD #14,2027,916721
QUEENS COMMUNITY BOARD #2,2027,1249698
QUEENS COMMUNITY BOARD #3,2027,1209759
QUEENS COMMUNITY BOARD #4,2027,1079071
QUEENS COMMUNITY BOARD #5,2027,1054492
QUEENS COMMUNITY BOARD #6,2027,1151837
QUEENS COMMUNITY BOARD #7,2027,1184736
QUEENS COMMUNITY BOARD #8,2027,1220220
QUEENS COMMUNITY BOARD #9,2027,877243
STATEN ISLAND COMMUNITY BOARD #1,2027,1109232
STATEN ISLAND COMMUNITY BOARD #2,2027,977061
STATEN ISLAND COMMUNITY BOARD #3,2027,1298443
