agency_name,fiscal_year,budget_amount,actual_amount,variance_amount,variance_pct
BROOKLYN PUBLIC LIBRARY,2020,111723595,119335000,7611405,6.8127104216437
CITY UNIVERSITY OF NEW YORK,2020,1307212142,1255111000,-52101142,-3.985668456252757
DEPARTMENT FOR THE AGING,2020,399465257,423982000,24516743,6.137390566609401
DEPARTMENT OF CORRECTION,2020,1380738255,1287217000,-93521255,-6.773279052806427
DEPARTMENT OF CULTURAL AFFAIRS,2020,206737434,209861000,3123566,1.5108855418994898
DEPARTMENT OF EDUCATION,2020,27013400480,28066521000,1053120520,3.8985114842527966
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2020,1878148868,1860295000,-17853868,-0.9506098427124255
DEPARTMENT OF HOMELESS SERVICES,2020,2141767161,2369187000,227419839,10.61832691905766
DEPARTMENT OF PARKS AND RECREATION,2020,585819571,567209000,-18610571,-3.1768435063088734
DEPARTMENT OF SANITATION,2020,1768551748,2103205000,334653252,18.922446141508097
DEPARTMENT OF SMALL BUSINESS SERVICES,2020,292917297,340110000,47192703,16.11127218615567
DEPARTMENT OF SOCIAL SERVICES,2020,10200550464,10555945000,355394536,3.4840721317370664
DEPARTMENT OF TRANSPORTATION,2020,1061111591,1094127000,33015409,3.1113983939131242
FIRE DEPARTMENT,2020,2141934264,2174497000,32562736,1.520249082676797
NEW YORK PUBLIC LIBRARY,2020,146307543,157377000,11069457,7.565882642154683
POLICE DEPARTMENT,2020,5996064478,6086160000,90095522,1.5025776045365602
BROOKLYN PUBLIC LIBRARY,2021,119372416,118246000,-1126416,-0.9436149805328561
CITY UNIVERSITY OF NEW YORK,2021,1325154724,1159432000,-165722724,-12.505915045132495
DEPARTMENT FOR THE AGING,2021,432575984,355611000,-76964984,-17.79224618258049
DEPARTMENT OF CORRECTION,2021,1310387219,1259317000,-51070219,-3.897337997464092
DEPARTMENT OF CULTURAL AFFAIRS,2021,214838849,185083000,-29755849,-13.850311123199138
DEPARTMENT OF EDUCATION,2021,28332901699,28545080000,212178301,0.7488760002562277
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2021,2012486290,2181320000,168833710,8.389309822329274
DEPARTMENT OF HOMELESS SERVICES,2021,2288546513,3044489000,755942487,33.03155442574131
DEPARTMENT OF PARKS AND RECREATION,2021,595335141,526633000,-68702141,-11.540078229650481
DEPARTMENT OF SANITATION,2021,2064350298,2378700000,314349702,15.2275368334798
DEPARTMENT OF SMALL BUSINESS SERVICES,2021,423746375,227011000,-196735375,-46.42762430711059
DEPARTMENT OF SOCIAL SERVICES,2021,10525685478,10093485000,-432200478,-4.106150415603365
DEPARTMENT OF TRANSPORTATION,2021,1106927141,1142242000,35314859,3.1903508091866364
FIRE DEPARTMENT,2021,2215209443,2235372000,20162557,0.9101873894458656
NEW YORK PUBLIC LIBRARY,2021,157451907,158498000,1046093,0.6643889044798931
POLICE DEPARTMENT,2021,6082976755,5542435000,-540541755,-8.88613875691195
BROOKLYN PUBLIC LIBRARY,2022,118234434,118390000,155566,0.13157419098399034
CITY UNIVERSITY OF NEW YORK,2022,1332569825,1231721000,-100848825,-7.567995545749357
DEPARTMENT FOR THE AGING,2022,398817021,502583000,103765979,26.018442928994247
DEPARTMENT OF CORRECTION,2022,1251519704,1391828000,140308296,11.211033717771974
DEPARTMENT OF CULTURAL AFFAIRS,2022,188215591,229803000,41587409,22.09562384234152
DEPARTMENT OF EDUCATION,2022,29168888823,31558009000,2389120177,8.190645147634665
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2022,2500852013,2613154000,112301987,4.490549077523525
DEPARTMENT OF HOMELESS SERVICES,2022,2881366868,2732767000,-148599868,-5.157269962750193
DEPARTMENT OF PARKS AND RECREATION,2022,564872519,588193000,23320481,4.1284502636602864
DEPARTMENT OF SANITATION,2022,2385562106,2040331000,-345231106,-14.471688040805928
DEPARTMENT OF SMALL BUSINESS SERVICES,2022,311961860,513200000,201238140,64.5072894487807
DEPARTMENT OF SOCIAL SERVICES,2022,10158128029,10964994000,806865971,7.943057704101713
DEPARTMENT OF TRANSPORTATION,2022,1140489286,1235382000,94892714,8.32035120056358
FIRE DEPARTMENT,2022,2254294348,2486020000,231725652,10.279298806102494
NEW YORK PUBLIC LIBRARY,2022,158734863,159893000,1158137,0.7296046867788584
POLICE DEPARTMENT,2022,5565365765,5881307000,315941235,5.676917714679621
BROOKLYN PUBLIC LIBRARY,2023,118204890,130941000,12736110,10.77460500999578
CITY UNIVERSITY OF NEW YORK,2023,1363176163,1269749000,-93427163,-6.853638255703566
DEPARTMENT FOR THE AGING,2023,562120787,494742000,-67378787,-11.986531819895143
DEPARTMENT OF CORRECTION,2023,1416285132,1357413000,-58872132,-4.156799409230824
DEPARTMENT OF CULTURAL AFFAIRS,2023,234118315,245009000,10890685,4.651786854010119
DEPARTMENT OF EDUCATION,2023,31937815818,31505484000,-432331818,-1.353667453227468
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2023,3237324743,2335488000,-901836743,-27.8574691942791
DEPARTMENT OF HOMELESS SERVICES,2023,2818746465,3540380000,721633535,25.601221818295034
DEPARTMENT OF PARKS AND RECREATION,2023,635690404,614286000,-21404404,-3.3671113902798506
DEPARTMENT OF SANITATION,2023,2048817181,1919278000,-129539181,-6.322632502367716
DEPARTMENT OF SMALL BUSINESS SERVICES,2023,594261467,364135000,-230126467,-38.72478358082739
DEPARTMENT OF SOCIAL SERVICES,2023,11433932027,11126992000,-306940027,-2.684466081092612
DEPARTMENT OF TRANSPORTATION,2023,1310816482,1385386000,74569518,5.688783977313462
FIRE DEPARTMENT,2023,2506269294,2552200000,45930706,1.8326325151873324
NEW YORK PUBLIC LIBRARY,2023,159755888,174642000,14886112,9.318036528331275
POLICE DEPARTMENT,2023,5880851658,6310785000,429933342,7.310732645587844
BROOKLYN PUBLIC LIBRARY,2024,130940541,128978000,-1962541,-1.4988031857910225
CITY UNIVERSITY OF NEW YORK,2024,1396707871,1281872000,-114835871,-8.221896173448284
DEPARTMENT FOR THE AGING,2024,545291149,509351000,-35940149,-6.591001718239883
DEPARTMENT OF CORRECTION,2024,1358236534,1277574000,-80662534,-5.938769277722874
DEPARTMENT OF CULTURAL AFFAIRS,2024,251167091,222592000,-28575091,-11.376924773954562
DEPARTMENT OF EDUCATION,2024,31377888452,33367648000,1989759548,6.341279308975217
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2024,2958997075,2344290000,-614707075,-20.774169741279653
DEPARTMENT OF HOMELESS SERVICES,2024,3539182292,3892169000,352986708,9.973679762070871
DEPARTMENT OF PARKS AND RECREATION,2024,638124356,639005000,880644,0.13800507561256603
DEPARTMENT OF SANITATION,2024,1919354596,1977801000,58446404,3.045107148090524
DEPARTMENT OF SMALL BUSINESS SERVICES,2024,388761207,284368000,-104393207,-26.85278395074023
DEPARTMENT OF SOCIAL SERVICES,2024,11727573942,12448781000,721207058,6.149669672234073
DEPARTMENT OF TRANSPORTATION,2024,1450374387,1471076000,20701613,1.4273289149031283
FIRE DEPARTMENT,2024,2593987935,2719838000,125850065,4.851605641720149
NEW YORK PUBLIC LIBRARY,2024,176314588,167718000,-8596588,-4.875710000808328
POLICE DEPARTMENT,2024,6386027848,6627307000,241279152,3.7782351994528915
BROOKLYN PUBLIC LIBRARY,2025,128659246,141442000,12782754,9.935355909049862
CITY UNIVERSITY OF NEW YORK,2025,1417323406,1409038000,-8285406,-0.5845811876756659
DEPARTMENT FOR THE AGING,2025,514786552,557095000,42308448,8.218638936007014
DEPARTMENT OF BUILDINGS,2025,190569665,179537000,-11032665,-5.789308072719758
DEPARTMENT OF CORRECTION,2025,1244806426,1356247000,111440574,8.952442056239834
DEPARTMENT OF CULTURAL AFFAIRS,2025,222188263,257368000,35179737,15.833301239678892
DEPARTMENT OF EDUCATION,2025,33112195986,34672331000,1560135014,4.711662780262695
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2025,2687087361,2452162000,-234925361,-8.742751144219312
DEPARTMENT OF HOMELESS SERVICES,2025,4017882980,4306362000,288479020,7.179876104803828
DEPARTMENT OF PARKS AND RECREATION,2025,640454419,650778000,10323581,1.6119150237294249
DEPARTMENT OF SANITATION,2025,1970755170,2057939000,87183830,4.423879299020182
DEPARTMENT OF SMALL BUSINESS SERVICES,2025,314552163,276981000,-37571163,-11.944334650784137
DEPARTMENT OF SOCIAL SERVICES,2025,12597269466,13167354000,570084534,4.525461136944453
DEPARTMENT OF TRANSPORTATION,2025,1445688229,1565366000,119677771,8.278255892197626
FIRE DEPARTMENT,2025,2761341428,2843794000,82452572,2.9859607784800164
NEW YORK PUBLIC LIBRARY,2025,167242666,185733000,18490334,11.055990939536924
POLICE DEPARTMENT,2025,6648355925,6870190000,221834075,3.3366756759491634
